index,group,calories,lipids,carbohydrates,protein,name
97,3,124.5,14.11,5.45,4.2,"NATILLA (TODOS SABORES), PREPARACION ESTANDARIZADA"
98,3,86.72,20.03,0.33,0.67,NIEVE DE FRUTAS
99,3,43.89,10.45,0.36,0.43,"NIEVE DE FRUTAS CON CHAMOY Y CHILE EN POLVO, PREPARACION ESTANDARIZADA"
100,3,514.85,52.61,29.42,9.89,NUEZ O CACAHUATES CUBIERTOS DE CHOCOLATE
101,3,365,89.08,0,2.17,NUTRA SWEET
102,3,369.29,77.68,2.92,7.87,OBLEAS CON CAJETA
103,3,414.21,46.25,24.3,5.8,"PALANQUETA CASERA, PREPARACION ESTANDARIZADA"
104,3,71.7,18.81,0,0,"PALETA DE HIELO, DE AGUA (TODOS SABORES)"
105,3,260.67,34.94,12.65,1.62,"PALETA DE HIELO, DE LECHE SIN COBERTURA"
106,3,238.09,22.02,15.15,3.4,"PALETA DE HIELO, DE LECHE Y COBERTURA DE CHOCOLATE (TIPO MAGNUM)"
107,3,364.44,67.66,10.27,4.11,"PALETA PAYASO, RICOLINO"
108,3,299,79.18,0.46,3.07,PASAS
109,3,440,64.2,19.08,3.85,PASAS CUBIERTAS CON CHOCOLATE
110,3,399.85,33.14,27.62,7.37,"PAY DE FRUTAS (REBANADA), PREPARACION ESTANDARIZADA"
111,3,293.83,33.31,13.71,7.4,"PAY DE QUESO (REBANADA), PREPARACION ESTANDARIZADA"
112,3,23.95,5.97,0.11,0.58,"PEPINO CON CHAMOY Y POLVITO AZUCARADO (TIPO MIGUELITO), PREPARACION ESTANDARIZADA"
113,3,375,93.8,0,0,PILONCILLO
114,3,321,79,0,1.3,QUESO DE TUNA
115,3,89.26,17.98,0.91,0.47,RASPADO (PROMEDIO)
116,3,336,91.17,0,0,SPLENDA
117,3,348,90,0,0,SUCRALOSA (CANDEREL-SUCARÉ) C/DEXTROSA
118,3,392,92,0,0,SUCRALOSA (NUTRA LIGHT)
119,3,0,0,0,0,SUCRALOSA (SPLENDA ORIGINAL LÍQUIDO)
120,3,126.6,31.48,0.24,0.33,"TEJOCOTES EN DULCE, PREPARACION ESTANDARIZADA"
121,3,492.33,58.54,27.13,4.87,"TLAXCAL DULCE, PREPARACION ESTANDARIZADA"
122,4,567,54.54,36.54,5.46,"CHEETOS O SIMILARES, BOTANA SABOR QUESO"
123,4,513.71,63.61,34,6.85,"CHICHARRON DE HARINA (SABRITONES, TOTIS)"
